"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.073154595E2,6.494435119E1,2.539375526E1,-5.139128602E-1,1.159999967E0,8.569999695E1,3.000000000E0,3.000000000E0
1.083228915E2,6.494434959E1,2.539377487E1,-5.139136987E-1,1.019999981E0,8.359999847E1,2.500000000E0,3.000000000E0
1.093021379E2,6.494434670E1,2.539379725E1,4.860844264E-1,1.049999952E0,8.230000305E1,2.500000000E0,3.000000000E0
1.103255303E2,6.494435018E1,2.539382064E1,4.860880203E-1,1.100000024E0,8.309999847E1,2.500000000E0,3.000000000E0
1.113144277E2,6.494435123E1,2.539384142E1,4.860894686E-1,1.240000010E0,8.009999847E1,2.500000000E0,3.000000000E0
1.123157993E2,6.494435022E1,2.539385945E1,4.860890888E-1,1.169999957E0,8.250000000E1,3.000000000E0,3.000000000E0
1.133091983E2,6.494435307E1,2.539387956E1,1.486092059E0,1.189999938E0,8.350000000E1,3.000000000E0,3.000000000E0
1.143195409E2,6.494435475E1,2.539389775E1,2.486093975E0,1.189999938E0,8.919999695E1,3.000000000E0,3.000000000E0
1.153207016E2,6.494435563E1,2.539391720E1,1.486095244E0,1.220000029E0,8.700000000E1,2.500000000E0,3.000000000E0
1.163193463E2,6.494435684E1,2.539394377E1,1.486096990E0,1.110000014E0,8.209999847E1,2.500000000E0,2.000000000E0
1.173194348E2,6.494435919E1,2.539397051E1,1.486099707E0,1.309999943E0,7.830000305E1,3.000000000E0,3.000000000E0
1.183190015E2,6.494435978E1,2.539399825E1,4.861009465E-1,1.230000019E0,7.880000305E1,2.500000000E0,3.000000000E0
1.192697764E2,6.494436246E1,2.539402683E1,4.861039990E-1,1.159999967E0,8.009999847E1,2.500000000E0,2.000000000E0
1.200117208E2,6.494436166E1,2.539405634E1,4.861041040E-1,1.419999957E0,8.409999847E1,3.000000000E0,3.000000000E0
1.213065756E2,6.494437076E1,2.539410369E1,-5.138868647E-1,1.079999924E0,8.059999847E1,2.500000000E0,2.000000000E0
1.223206841E2,6.494437344E1,2.539411979E1,-5.138841444E-1,1.159999967E0,8.630000305E1,3.000000000E0,3.000000000E0
1.232861964E2,6.494437436E1,2.539414619E1,4.861173464E-1,1.199999928E0,8.730000305E1,2.500000000E0,2.000000000E0
1.243326474E2,6.494437289E1,2.539417838E1,-5.138830501E-1,1.199999928E0,8.469999695E1,2.500000000E0,2.000000000E0
1.252709886E2,6.494437285E1,2.539420134E1,-5.138824744E-1,1.159999967E0,8.419999695E1,2.500000000E0,2.000000000E0
1.263005266E2,6.494437109E1,2.539422490E1,4.861166485E-1,1.169999957E0,7.959999847E1,2.500000000E0,2.000000000E0
1.273551242E2,6.494437252E1,2.539424845E1,4.861184932E-1,1.199999928E0,8.350000000E1,2.500000000E0,2.000000000E0
1.283444201E2,6.494436946E1,2.539427401E1,4.861165594E-1,1.169999957E0,8.430000305E1,2.500000000E0,2.000000000E0
1.293092220E2,6.494437055E1,2.539430218E1,1.486118240E0,1.179999948E0,8.569999695E1,2.500000000E0,2.000000000E0
1.303397272E2,6.494436636E1,2.539432674E1,4.861153126E-1,1.189999938E0,8.790000153E1,2.500000000E0,2.000000000E0
